Url,EventName,EventLocation,EventDate,EventImagePath,Price,TicketLink
https://www.bilietai.lt/lit/renginiai/koncertai/katie-melua-388741/,"  Katie Melua "," Trakų pilis, Trakai "," T 2023-07-19&#32;21:00",https://www.bilietai.lt/imageGenerator/eventDetails/36d1ddb623cf21880e5b8e521ce907c0,61.20,https://store.bilietai.lt/public/?concert=388741&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/jessica-shy-384081/,"  Jessica Shy "," Klaipėdos vasaros estrada, Klaipėda "," Pn 2023-07-07&#32;20:00",https://www.bilietai.lt/imageGenerator/eventDetails/f205487106903f4ae58af249cd7534e7,41.20 - 101.20,https://store.bilietai.lt/public/?concert=384081&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/andrius-mamontovas-381371/,"  Andrius Mamontovas "," Vilniaus Vingio parkas, Vilnius "," Pn 2023-06-09&#32;20:00",https://www.bilietai.lt/imageGenerator/eventDetails/ac96d8e09f729c39fc3144dd95e6b8b3,23.00 - 79.00,https://store.bilietai.lt/public/?concert=381371&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/millennium-2000-fest-370366/,"  MILLENNIUM 2000 FEST "," Kauno Žalgirio arena, Kaunas "," Š 2023-04-15&#32;21:00",https://www.bilietai.lt/imageGenerator/eventDetails/f7a801791a619b95e0039a99510b94c3,56.00 - 109.30,https://store.bilietai.lt/public/?concert=370366&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/ekspresionizmo-genijai--festivalis-klaipedos-muzikos-pavasaris-381677/,"  Ekspresionizmo genijai | Festivalis KLAIPĖDOS MUZIKOS PAVASARIS "," Klaipėdos koncertų salė, Klaipėda "," Pn 2023-04-14&#32;18:30",https://www.bilietai.lt/imageGenerator/eventDetails/4d3860eddb53143fdc75c61d600e9fe6,1.20 - 19.20,https://store.bilietai.lt/public/?concert=381677&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/jaunosios-danijos-zvaigzdes--a-darvann-hermann-a-gaub-pedersen-e-dalgaard-a-roman-384919/,"  &#039;&#039;Jaunosios Danijos žvaigždės&#039;&#039; | A. Darvann Hermann, A. Gaub Pedersen, E. Dalgaard, A. Roman "," Vilniaus Rotušė, Vilnius "," Pn 2023-04-14&#32;19:00",https://www.bilietai.lt/imageGenerator/eventDetails/209a081c99b175af012f0c82a545cca0,6.00,https://store.bilietai.lt/public/?concert=384919&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/verka-serduchka-parody-show--band-jevgenij-kalmykov-381775/,"  Verka Serduchka parody show &amp; band Jevgenij Kalmykov "," Utenos kultūros centras, Utena "," Pn 2023-04-14&#32;19:30",https://www.bilietai.lt/imageGenerator/eventDetails/9374a56482e544cba1469225b20c8e7f,10.86 - 27.00,https://store.bilietai.lt/public/?concert=381775&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/kedainiai-vidas-bareikis-reivas-akustiskai-385582/,"  (Kėdainiai) Vidas Bareikis. Reivas - akustiškai "," Restoranas &#039;&#039;Grėjaus namas&#039;&#039;, Kėdainiai "," Pn 2023-04-14&#32;19:30",https://www.bilietai.lt/imageGenerator/eventDetails/0000e4790a788c84fd321c0a63b177b8,35.00 - 41.00,https://store.bilietai.lt/public/?concert=385582&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/sisters-on-wire--0414--zalgirio-arena-376052/,"  Sisters On Wire | 04.14 | ŽALGIRIO ARENA "," Kauno Žalgirio arena, Kaunas "," Pn 2023-04-14&#32;20:00",https://www.bilietai.lt/imageGenerator/eventDetails/a1fd73d1ddc73af3a96bf876e577d316,25.00 - 40.00,https://store.bilietai.lt/public/?concert=376052&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/koncertai/saules-kliosas-388483/,"  Saulės Kliošas "," TAMSTA muzikos klubas, Vilnius "," Pn 2023-04-14&#32;20:00",https://www.bilietai.lt/imageGenerator/eventDetails/fcccd0316ff15006dedfe9d138495e9d,28.20 - 41.20,https://store.bilietai.lt/public/?concert=388483&amp;design=bilietai&amp;lang=lit&amp;center=1745
