Url,EventName,EventLocation,EventDate,EventImagePath,Price,TicketLink
https://www.bilietai.lt/lit/renginiai/teatras/spektaklis-gal-nedarom-tragedijos-yasmina-reza-premjera-80029/," Spektaklis ,,GAL NEDAROM TRAGEDIJOS&#039;&#039; (Yasmina REZA). Premjera! ",Renginys vyksta daugiau negu vienoje vietoje," T 2023-03-22&#32;18:00 &#32;-&#32;Pn 2023-05-26&#32; 20:30",https://www.bilietai.lt/imageGenerator/eventDetails/0bf72759ed641b4140e5e9a89e6763f3,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/teatras/sapnai-ir-kaktusai-iii-premjera-sokio-spektaklis-378360/,"  SAPNAI IR KAKTUSAI III premjera, šokio spektaklis "," Kultūros centras Žvejų rūmai, Klaipėda "," Pn 2023-03-31&#32;18:30",https://www.bilietai.lt/imageGenerator/eventDetails/f8091634a5a2b9a475e8a6c811f1a944,13.00 - 27.00,https://store.bilietai.lt/public/?concert=378360&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/humoro-klubas-su-programa-kelyje-3-81601/," &#039;&#039;Humoro klubas&#039;&#039; su programa &#039;&#039;Kelyje 3&#039;&#039; ",Renginys vyksta daugiau negu vienoje vietoje," K 2023-03-23&#32;19:00 &#32;-&#32;T 2023-05-24&#32; 20:30",https://www.bilietai.lt/imageGenerator/eventDetails/f855b0da06413e6db6909a12db19124c,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/teatras/vaikams-ir-jaunimui/kauno-valstybinis-leliu-teatras-repertuaras-2022-69218/," Kauno valstybinis lėlių teatras REPERTUARAS 2022 ",Renginys vyksta daugiau negu vienoje vietoje," T 2023-03-22&#32;18:00 &#32;-&#32;S 2023-04-30&#32; 13:40",https://www.bilietai.lt/imageGenerator/eventDetails/dc1421e6eb1bae1d376c55c54af0754a,Bilietai neparduodami,Bilieto nusipirkti negalima
https://www.bilietai.lt/lit/renginiai/teatras/knyga-marius-ivaskevicius-miegantys-361889/,"  Knyga: Marius Ivaškevičius. MIEGANTYS. "," Lietuvos nacionalinis dramos teatras, Vilnius "," Š 2022-12-31&#32;00:00 &#32;-&#32; Pn 2023-06-30&#32; 23:59",https://www.bilietai.lt/imageGenerator/eventDetails/4aabe336db4cefb114844e1afc6bbc79,10.00,https://store.bilietai.lt/public/?concert=361889&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/komedija/komedija-kaimynai-be-rysio--svencionys-383177/,"  Komedija &#039;&#039;Kaimynai be ryšio&#039;&#039; | Švenčionys "," Švenčionių miesto kultūros centras, Švenčionys "," Pr 2023-03-20&#32;18:00",https://www.bilietai.lt/imageGenerator/eventDetails/8e314ad1c5c74f872dda943a3a3ac806,22.00,https://store.bilietai.lt/public/?concert=383177&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/tarptautines-lelininku-dienos-proga-ekskursija-i-gyvaji-leliu-muzieju-380404/,"  Tarptautinės lėlininkų dienos proga: ekskursija į &#039;&#039;Gyvąjį lėlių muziejų&#039;&#039; "," Vilniaus teatras LĖLĖ, Vilnius "," A 2023-03-21&#32;17:00",https://www.bilietai.lt/imageGenerator/eventDetails/9ef719e3acf8ebc90f82b3213fd5aed8,7.00,https://store.bilietai.lt/public/?concert=380404&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/pasirinkimas--judesio-ir-leliu-spektaklis-suaugusiems-380405/,"  PASIRINKIMAS || Judesio ir lėlių spektaklis suaugusiems "," Vilniaus teatras LĖLĖ, Vilnius "," A 2023-03-21&#32;18:30",https://www.bilietai.lt/imageGenerator/eventDetails/306a9adbd7470e60d3a67d85c42584d9,16.00,https://store.bilietai.lt/public/?concert=380405&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/premjera-dmitry-krymov-fragmentas-382769/,"  Premjera! Dmitry Krymov FRAGMENTAS "," Klaipėdos dramos teatras, Klaipėda "," A 2023-03-21&#32;18:30",https://www.bilietai.lt/imageGenerator/eventDetails/c5cc38848881f89ef5892dc2f4751a20,29.15,https://store.bilietai.lt/public/?concert=382769&amp;design=bilietai&amp;lang=lit&amp;center=1745
https://www.bilietai.lt/lit/renginiai/teatras/durys-sokio-spektaklis-rez-jo-strmgren-norvegija-379191/,"  DURYS (šokio spektaklis), rež. Jo Strømgren (Norvegija) "," Lietuvos nacionalinis dramos teatras, Vilnius "," A 2023-03-21&#32;19:00",https://www.bilietai.lt/imageGenerator/eventDetails/a6d3cf23dc09d79b80575e6d407b7f7b,8.70 - 16.00,https://store.bilietai.lt/public/?concert=379191&amp;design=bilietai&amp;lang=lit&amp;center=1745
